epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,503.684,0.97507,1.31916,1.22316,0.63781,0.60942,0.65663,0.41535,1.26055,1.30367,1.55057,0.00047592,0.00047592,0.00047592
2,1037.35,0.99746,1.17452,1.24745,0.63063,0.6767,0.70116,0.47288,1.21139,1.15231,1.53173,0.000920829,0.000920829,0.000920829
3,1711.44,0.94392,1.09347,1.20772,0.67521,0.6566,0.71963,0.49827,1.09524,1.09129,1.39406,0.0013343,0.0013343,0.0013343
4,2260.6,0.88695,1.01444,1.17827,0.65742,0.69088,0.75029,0.51953,1.13165,1.06211,1.45049,0.00128753,0.00128753,0.00128753
5,2739.55,0.83272,0.92213,1.14362,0.75778,0.76096,0.82475,0.59656,1.02236,0.77716,1.32989,0.00124037,0.00124037,0.00124037
6,3218.07,0.78797,0.84954,1.11685,0.7414,0.65509,0.76506,0.54481,1.02593,0.89873,1.3158,0.00119322,0.00119322,0.00119322
7,3696.78,0.76631,0.80137,1.10469,0.74968,0.79855,0.8646,0.63934,0.97917,0.69509,1.29375,0.00114606,0.00114606,0.00114606
8,4175.61,0.73796,0.769,1.09115,0.81309,0.75127,0.86379,0.63817,0.97438,0.69637,1.25525,0.0010989,0.0010989,0.0010989
9,4654.43,0.71935,0.73961,1.07658,0.74316,0.79929,0.83958,0.62281,0.99823,0.7409,1.29601,0.00105174,0.00105174,0.00105174
10,5132.83,0.70409,0.70955,1.07476,0.77351,0.75405,0.81863,0.59714,0.98668,0.74136,1.28568,0.00100459,0.00100459,0.00100459
11,5611.38,0.68287,0.68231,1.0613,0.82572,0.74832,0.85144,0.62956,0.98286,0.69592,1.3023,0.00095743,0.00095743,0.00095743
12,6089.56,0.66624,0.65319,1.05009,0.84122,0.74377,0.84589,0.63306,0.94544,0.63125,1.25611,0.000910273,0.000910273,0.000910273
13,6568.08,0.65065,0.63599,1.04208,0.8475,0.81279,0.85839,0.6348,0.93698,0.62983,1.22545,0.000863116,0.000863116,0.000863116
14,7046.32,0.64274,0.61717,1.03293,0.83172,0.82202,0.88295,0.66855,0.93297,0.59944,1.23381,0.000815959,0.000815959,0.000815959
15,7525.13,0.62907,0.6049,1.02736,0.7584,0.8553,0.86832,0.65669,0.90179,0.62399,1.20284,0.000768802,0.000768802,0.000768802
16,8003.1,0.61888,0.58629,1.02333,0.83835,0.76723,0.86054,0.64866,0.94489,0.65734,1.25925,0.000721645,0.000721645,0.000721645
17,8481.43,0.60658,0.56618,1.01831,0.8499,0.78632,0.892,0.67716,0.89194,0.60664,1.20345,0.000674488,0.000674488,0.000674488
18,8960.35,0.60109,0.55312,1.01429,0.79849,0.83663,0.89056,0.68061,0.91109,0.58693,1.22138,0.000627331,0.000627331,0.000627331
19,9439.2,0.58203,0.53916,1.00438,0.81978,0.82153,0.8721,0.66805,0.89294,0.59255,1.21317,0.000580174,0.000580174,0.000580174
20,9917.28,0.57612,0.52301,1.00265,0.77533,0.86513,0.87986,0.67323,0.91446,0.6229,1.2319,0.000533017,0.000533017,0.000533017
21,10409.1,0.5461,0.43143,0.9652,0.8162,0.8219,0.89242,0.68273,0.8788,0.5664,1.18318,0.00048586,0.00048586,0.00048586
22,10887.9,0.53166,0.41216,0.95718,0.87662,0.78508,0.8948,0.69402,0.87211,0.57645,1.19701,0.000438703,0.000438703,0.000438703
23,11366.7,0.52011,0.39258,0.94579,0.80979,0.84038,0.88065,0.68183,0.86924,0.57209,1.20788,0.000391546,0.000391546,0.000391546
24,11844.8,0.50614,0.36866,0.93849,0.86549,0.82535,0.88668,0.68764,0.88327,0.52717,1.20456,0.000344389,0.000344389,0.000344389
25,12323.4,0.49752,0.3557,0.93679,0.8062,0.87106,0.86793,0.67098,0.88569,0.56726,1.22765,0.000297232,0.000297232,0.000297232
26,12801.7,0.48146,0.33885,0.92905,0.81429,0.83723,0.87818,0.68098,0.87833,0.56508,1.22231,0.000250075,0.000250075,0.000250075
27,13279.8,0.47008,0.3236,0.92247,0.81103,0.87062,0.88711,0.69478,0.85431,0.5515,1.18794,0.000202918,0.000202918,0.000202918
28,13758.5,0.45837,0.30877,0.91645,0.8518,0.81897,0.87202,0.68316,0.86836,0.57143,1.21168,0.000155761,0.000155761,0.000155761
29,14237.5,0.45127,0.29579,0.91299,0.82516,0.84236,0.86281,0.68525,0.84131,0.57328,1.17705,0.000108604,0.000108604,0.000108604
30,14715.4,0.44525,0.28202,0.90831,0.82695,0.84413,0.85685,0.68105,0.85419,0.56701,1.19299,6.1447e-05,6.1447e-05,6.1447e-05
